antecedents_str,consequents_str,support,confidence,lift
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,0.02265236411577875,0.6891522333637192,13.880366105178494
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,0.02265236411577875,0.456246228123114,13.880366105178494
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.02912446814885839,0.6033519553072625,11.713943081107956
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.02912446814885839,0.5654450261780104,11.713943081107956
LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,0.022892071672559477,0.5283540802213001,9.973579792593705
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.022892071672559477,0.43212669683257915,9.973579792593705
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.025618745130940253,0.49680418361417783,9.584013193028653
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.025618745130940253,0.49421965317919075,9.584013193028653
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,0.021903278000838976,0.3843322818086225,7.639491109637265
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG  BLACK SKULL.,0.021903278000838976,0.43537820131030375,7.639491109637264
LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,0.021244082219691977,0.4339045287637699,7.613632882735045
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,0.021244082219691977,0.37276550998948477,7.613632882735045
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.020914484329118476,0.48304498269896196,6.742427123628254
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,0.020914484329118476,0.2919280635717273,6.742427123628254
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.020824593995325703,0.2906733584274362,6.006769451490561
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.020824593995325703,0.43034055727554177,6.00676945149056
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.032780008389764484,0.7058064516129031,5.010760373564992
WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,0.032780008389764484,0.23271644330993402,5.010760373564992
